,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
0,COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)[C@@H]2C3CCC(CC3)N2C(=O)OCc2ccccc2)C(=O)O)cc1,0.0258715228116611,0.3255989944763032,0.026,0.176,0.15,-0.15,-0.284,-0.016,0.042,-0.642,0.642,0.267,0.252,0.201,3.739
1,COc1ccc(F)cc1C(c1ccc(Cl)cc1Cl)N1CCC(C(=O)O)CC1,0.0341768696233591,0.3268117221080999,0.02,0.166,0.146,-0.146,-0.289,-0.003,0.037,-0.7190000000000001,0.7190000000000001,0.286,0.281,0.185,3.494
2,COc1ccc(F)cc1C(c1ccc(Cl)cc1Cl)N1CCC(C(=O)O)CC1,0.0337358777572512,0.3193883590286176,0.019,0.162,0.143,-0.143,-0.283,-0.003,0.036,-0.758,0.758,0.28,0.273,0.181,3.567
3,CCSCC=CC(=O)O,0.0263860133221202,0.3415114509783618,0.028,0.185,0.158,-0.158,-0.297,-0.018,0.045,-0.929,0.929,0.279,0.222,0.213,3.5860000000000003
4,Cc1ccncc1NC(=O)NC1COCC1C(=O)O,0.043033456267692,0.3493023072796007,0.017,0.17,0.153,-0.153,-0.313,0.006,0.037,-0.62,0.62,0.319,0.295,0.187,3.137
5,Cc1ccncc1NC(=O)NC1COCC1C(=O)O,0.0379987991296272,0.3491920593130737,0.02,0.175,0.156,-0.156,-0.31,-0.001,0.039,-0.637,0.637,0.309,0.295,0.195,3.238
6,Cc1ccncc1NC(=O)NC1COCC1C(=O)O,0.0419309766024223,0.3565419237482047,0.018,0.176,0.157,-0.157,-0.318,0.003,0.038,-0.649,0.649,0.322,0.306,0.194,3.11
7,C#CC(NC(=O)C(=O)O)C(C)C,0.0315309184267119,0.3821929506268119,0.029,0.205,0.175,-0.175,-0.334,-0.017,0.049,-0.7490000000000001,0.7490000000000001,0.317,0.305,0.234,3.158
8,C#CC(NC(=O)C(=O)O)C(C)C,0.0317146650375902,0.3886240820075515,0.03,0.208,0.178,-0.178,-0.339,-0.018,0.05,-0.723,0.723,0.321,0.315,0.238,3.113
9,CCCCC(=O)N(C)[C@H](C[C@@H](OC(C)=O)c1nc(C(=O)N[C@@H](Cc2ccccc2)C[C@H](C)C(=O)O)cs1)C(C)C,0.0328538940250355,0.3489715633800198,0.023,0.181,0.158,-0.158,-0.307,-0.009,0.042,-0.805,0.805,0.298,0.292,0.205,3.3560000000000003
10,CCCCC(=O)N(C)[C@H](C[C@@H](OC(C)=O)c1nc(C(=O)N[C@@H](Cc2ccccc2)C[C@H](C)C(=O)O)cs1)C(C)C,0.0259450214560124,0.3536754766185037,0.03,0.194,0.1639999999999999,-0.1639999999999999,-0.307,-0.021,0.047,-0.976,0.976,0.286,0.281,0.224,3.502
11,CCCCC(=O)N(C)[C@H](C[C@@H](OC(C)=O)c1nc(C(=O)N[C@@H](Cc2ccccc2)C[C@H](C)C(=O)O)cs1)C(C)C,0.0274517436652142,0.35150726661014,0.028,0.19,0.162,-0.162,-0.306,-0.018,0.046,-0.912,0.912,0.288,0.282,0.218,3.475
12,COc1ccc(-n2nc(C(=O)O)c(=O)n(Cc3cccc(C(F)(F)F)c3)c2=O)cc1,0.0048509105271864,0.3644062786937949,0.067,0.247,0.18,-0.18,-0.293,-0.066,0.071,-0.792,0.792,0.227,0.183,0.313,4.41
13,COc1ccc(-n2nc(C(=O)O)c(=O)n(Cc3cccc(C(F)(F)F)c3)c2=O)cc1,0.0048141612050108,0.3617970768193233,0.066,0.245,0.178,-0.178,-0.291,-0.066,0.071,-0.7909999999999999,0.7909999999999999,0.225,0.178,0.311,4.442
14,COc1ccc(-n2nc(C(=O)O)c(=O)n(Cc3cccc(C(F)(F)F)c3)c2=O)cc1,0.004997907815889,0.3635242949615792,0.066,0.245,0.179,-0.179,-0.293,-0.066,0.071,-0.795,0.795,0.227,0.181,0.312,4.408
15,CC(C1CC1)N(C(=O)CN1CCCC(N(C)CC(=O)O)CC1)C1CC1.Cl,0.0411959901589092,0.2662120898404447,0.009,0.121,0.113,-0.113,-0.242,0.017,0.024,-0.455,0.455,0.258,0.215,0.13,3.87
16,CC(C1CC1)N(C(=O)CN1CCCC(N(C)CC(=O)O)CC1)C1CC1.Cl,0.056446958861806,0.304431384903126,0.0069999999999999,0.131,0.124,-0.124,-0.28,0.032,0.025,-0.92,0.92,0.312,0.305,0.138,3.21
17,CC(C1CC1)N(C(=O)CN1CCCC(N(C)CC(=O)O)CC1)C1CC1.Cl,0.061775610577276,0.3255622451541276,0.0069999999999999,0.139,0.132,-0.132,-0.3,0.036,0.026,-0.951,0.951,0.336,0.328,0.146,2.9810000000000003
18,CC(C1CC1)N(C(=O)CN1CCCC(N(C)CC(=O)O)CC1)C1CC1.Cl,0.0608936268450603,0.2961995367357793,0.005,0.123,0.118,-0.118,-0.274,0.039,0.022,-0.888,0.888,0.313,0.295,0.128,3.196
19,O=C(O)c1cc(CC2CCCCO2)on1,0.0336256297907243,0.3774522880661525,0.027,0.199,0.172,-0.172,-0.331,-0.013,0.046,-0.764,0.764,0.318,0.279,0.226,3.143
20,CCCCC(NC(=O)Nc1c(Cl)cccc1Cl)C(=O)O,0.0407549982928013,0.3405192192796191,0.017,0.1669999999999999,0.15,-0.15,-0.304,0.004,0.036,-0.6709999999999999,0.6709999999999999,0.308,0.296,0.184,3.2430000000000003
21,CCCCC(NC(=O)Nc1c(Cl)cccc1Cl)C(=O)O,0.0397995159162343,0.3444881460745899,0.018,0.171,0.152,-0.152,-0.307,0.002,0.038,-0.675,0.675,0.309,0.297,0.189,3.234
22,CCCCC(NC(=O)Nc1c(Cl)cccc1Cl)C(=O)O,0.0390645294727212,0.3467666040494805,0.019,0.173,0.154,-0.154,-0.309,0.001,0.038,-0.6659999999999999,0.6659999999999999,0.309,0.297,0.192,3.233
23,CCCCCC(C)NC(=O)N1CCCC(C)C1C(=O)O,0.0714774316316489,0.3252682505767224,0.004,0.131,0.127,-0.127,-0.302,0.049,0.023,-0.894,0.894,0.351,0.337,0.136,2.8510000000000004
24,CC(C)(C)c1cc(C(=O)O)cc(SC2COC2)n1,0.0156184619246533,0.3407029658904975,0.04,0.202,0.163,-0.163,-0.288,-0.037,0.053,-0.6579999999999999,0.6579999999999999,0.251,0.219,0.242,3.983
25,CCCCCC(C)NC(=O)N1CCCC(C)C1C(=O)O,0.0705586985772575,0.3262237329532894,0.005,0.132,0.128,-0.128,-0.303,0.047,0.023,-0.847,0.847,0.35,0.334,0.1369999999999999,2.8560000000000003
26,C[C@@]12CCN(C3CCc4cc(C(=O)O)ccc43)[C@@H]1CCC1=CC(C(F)(C(F)(F)F)C(F)(F)F)=CC#CC12,0.0129725107280062,0.3495595525348303,0.045,0.214,0.168,-0.168,-0.293,-0.044,0.057,-0.4370000000000001,0.4370000000000001,0.249,0.24,0.259,4.022
27,O=C(O)C1CCCCCN1c1cnc2ccccc2n1,0.0143689849706811,0.3282449456729504,0.039,0.196,0.157,-0.157,-0.277,-0.037,0.051,-0.5820000000000001,0.5820000000000001,0.24,0.203,0.235,4.166
28,COCc1cc(C(=O)O)ccc1-c1ccc(-n2ccnc2)cc1,0.0182276637991248,0.3481630782921553,0.037,0.202,0.165,-0.165,-0.296,-0.034,0.052,-0.7759999999999999,0.7759999999999999,0.263,0.247,0.24,3.804
29,COCc1cc(C(=O)O)ccc1-c1ccc(-n2ccnc2)cc1,0.0181909144769492,0.3486775688026145,0.038,0.203,0.165,-0.165,-0.297,-0.034,0.052,-0.7809999999999999,0.7809999999999999,0.263,0.248,0.24,3.801
30,COC(=O)c1cc2n(n1)C(C(=O)O)CN(C)C2=O,0.0330008913137381,0.3775625360326793,0.027,0.2,0.172,-0.172,-0.331,-0.014,0.047,-0.721,0.721,0.317,0.307,0.227,3.155
31,COC(=O)c1cc2n(n1)C(C(=O)O)CN(C)C2=O,0.0330743899580894,0.3776360346770306,0.027,0.2,0.172,-0.172,-0.331,-0.014,0.047,-0.72,0.72,0.317,0.307,0.227,3.154
32,COC(=O)c1cc2n(n1)C(C(=O)O)CN(C)C2=O,0.032265904870225,0.3821194519824606,0.029,0.204,0.175,-0.175,-0.334,-0.016,0.048,-0.67,0.67,0.318,0.31,0.232,3.142
33,CC1(C)OC[C@H]([C@H](/C=C/C=C/CO[Si](C)(C)C(C)(C)C)OC(=O)/C=C\C(=O)O)O1,0.0180806665104222,0.3498535471122355,0.038,0.204,0.166,-0.166,-0.298,-0.034,0.052,-0.985,0.985,0.264,0.248,0.242,3.795
34,O=C(O)C1Cc2cc(Cl)c(Oc3c(F)cccc3F)cc2OC1C(F)(F)F,0.0359775864099662,0.3381305133382016,0.02,0.171,0.151,-0.151,-0.3,-0.002,0.038,-0.5820000000000001,0.5820000000000001,0.297,0.284,0.191,3.363
35,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C.O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0282969780752543,0.3479425823591015,0.027,0.187,0.16,-0.16,-0.303,-0.016,0.044,-0.5920000000000001,0.5920000000000001,0.287,0.282,0.214,3.48
36,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C.O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0031236923849306,0.3677137176896039,0.074,0.256,0.182,-0.182,-0.292,-0.073,0.076,-0.977,0.977,0.219,0.182,0.33,4.559
37,O=C(O)C1CCN(c2nc3c(c(=O)[nH]2)CN(Cc2ccccc2)CC3)CC1,0.043033456267692,0.3015649377734249,0.012,0.141,0.129,-0.129,-0.272,0.014,0.029,-0.588,0.588,0.286,0.277,0.153,3.494
38,O=C(O)C1CCN(c2nc3c(c(=O)[nH]2)CN(Cc2ccccc2)CC3)CC1,0.0393217747279508,0.3031084093048023,0.014,0.146,0.132,-0.132,-0.272,0.008,0.031,-0.546,0.546,0.28,0.278,0.159,3.567
39,O=C(O)C1CCN(c2nc3c(c(=O)[nH]2)CN(Cc2ccccc2)CC3)CC1,0.0440624372886103,0.2977430082671568,0.011,0.138,0.127,-0.127,-0.27,0.016,0.028,-0.58,0.58,0.285,0.275,0.148,3.504
40,CN(Cc1ccc(C(=O)O)cc1)C(=O)C(C)(C)COCc1ccccc1,0.0255040295899045,0.3663172434469289,0.032,0.203,0.17,-0.17,-0.317,-0.024,0.05,-0.917,0.917,0.293,0.284,0.235,3.418
41,CN(Cc1ccc(C(=O)O)cc1)C(=O)C(C)(C)COCc1ccccc1,0.0205796204183668,0.3664642407356316,0.038,0.211,0.173,-0.173,-0.313,-0.033,0.053,-0.995,0.995,0.28,0.271,0.248,3.5660000000000003
42,CCCC(CNC(=O)c1csc(-c2ccoc2)n1)C(=O)O,0.0233725689037165,0.3387920011373633,0.03,0.188,0.158,-0.158,-0.293,-0.023,0.046,-0.433,0.433,0.27,0.244,0.218,3.703
43,CCCC(CNC(=O)c1csc(-c2ccoc2)n1)C(=O)O,0.0201018792300832,0.351397018643613,0.036,0.201,0.166,-0.166,-0.301,-0.031,0.051,-0.434,0.434,0.27,0.246,0.237,3.706
44,CNC(=O)CCN(C)S(=O)(=O)c1cc(C(=O)O)oc1Br,0.0179336692217196,0.3891385725180107,0.045,0.231,0.186,-0.186,-0.329,-0.042,0.06,-0.595,0.595,0.287,0.284,0.276,3.483
45,CNC(=O)CCN(C)S(=O)(=O)c1cc(C(=O)O)oc1Br,0.0202856258409615,0.3856473869113235,0.041,0.224,0.183,-0.183,-0.328,-0.037,0.057,-0.945,0.945,0.291,0.289,0.265,3.432
46,CNC(=O)CCN(C)S(=O)(=O)c1cc(C(=O)O)oc1Br,0.0197343860083267,0.3843979099573512,0.042,0.224,0.182,-0.182,-0.327,-0.038,0.057,-0.57,0.57,0.289,0.285,0.266,3.458
47,CC(C)=CCc1c2c(c(O)c3c1O[C@@]14C(=C[C@H]5C[C@@H]1C(C)(C)O[C@]4(C/C=C(/C)C(=O)O)C5=O)C3=O)CC(C(C)(C)O)O2,0.0164269470125177,0.330633651614368,0.037,0.194,0.157,-0.157,-0.281,-0.033,0.05,-0.787,0.787,0.247,0.243,0.231,4.045
48,CC(=O)OC[C@H]1O[C@H](OCC(=O)O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,0.0329641419915625,0.3287594361834095,0.021,0.1689999999999999,0.148,-0.148,-0.29,-0.005,0.038,-0.994,0.994,0.285,0.254,0.189,3.509
49,C=C1CCCC(C)(C)[C@@H]1CC[C@@]1(C)C=Cc2c(cc(C)c(C(=O)O)c2O)O1,0.0279294848534978,0.3204173400495359,0.023,0.17,0.146,-0.146,-0.281,-0.012,0.04,-0.463,0.463,0.269,0.259,0.193,3.721
50,O=C(O)C1CCCCCN1c1cnc2ccccc2n1,0.0141484890376271,0.3311481421248271,0.04,0.199,0.159,-0.159,-0.279,-0.038,0.052,-0.59,0.59,0.241,0.205,0.239,4.148
51,C[C@@]12CCN(C3CCc4cc(C(=O)O)ccc43)[C@@H]1CCC1=CC(C(F)(C(F)(F)F)C(F)(F)F)=CC#CC12,0.0126417668284253,0.3410337097900783,0.044,0.208,0.1639999999999999,-0.1639999999999999,-0.285,-0.043,0.056,-0.795,0.795,0.242,0.231,0.253,4.125
52,O=C(N[C@H](CO)C(=O)O)c1ccco1,0.0336256297907243,0.3540429698402602,0.024,0.184,0.16,-0.16,-0.312,-0.009,0.042,-0.519,0.519,0.303,0.277,0.207,3.301
53,CCCCCC(C)NC(=O)N1CCCC(C)C1C(=O)O,0.0614816159998708,0.3280244497398965,0.0069999999999999,0.14,0.133,-0.133,-0.302,0.035,0.026,-0.841,0.841,0.337,0.322,0.148,2.97
54,CC(C)(CCC(=O)O)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CCO5)CC3)ccc2[nH]1,0.0408652462593283,0.2879309392462568,0.011,0.135,0.124,-0.124,-0.26,0.013,0.028,-0.949,0.949,0.273,0.265,0.146,3.665
55,O=C(O)C1CC2CCCCC2N1S(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-],0.0037116815397411,0.4715305528358292,0.175,0.409,0.234,-0.234,-0.332,-0.136,0.14,-0.88,0.88,0.196,0.176,0.583,5.106
56,O=C(O)C1CC2CCCCC2N1S(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-],0.0061003874811587,0.4113351631121063,0.074,0.276,0.203,-0.203,-0.332,-0.073,0.079,-0.799,0.799,0.259,0.238,0.35,3.864
57,O=C(O)C1CC2CCCCC2N1S(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-],0.0022784579748906,0.4295260775890556,0.093,0.307,0.214,-0.214,-0.337,-0.09,0.092,-0.947,0.947,0.247,0.228,0.4,4.046
58,COCC(=O)N1CSC[C@H]1C(=O)O,0.0559692176735225,0.3228060459909535,0.008,0.142,0.133,-0.133,-0.295,0.028,0.027,-0.927,0.927,0.324,0.293,0.15,3.088
59,COCC(=O)N1CSC[C@H]1C(=O)O,0.0490235957823237,0.3308541475474219,0.012,0.153,0.141,-0.141,-0.3,0.018,0.031,-0.936,0.936,0.317,0.285,0.165,3.151
60,CN(CC(=O)O)c1nc(O)c(C(Cc2ccc(C(C)(C)O)cc2C(F)(F)F)=c2ccc3c(c2)C=NN=3)s1,0.0001102479665269,0.3237982776896961,0.086,0.247,0.162,-0.162,-0.246,-0.078,0.078,-0.5489999999999999,0.5489999999999999,0.168,0.132,0.333,5.956
61,CN(CC(=O)O)c1nc(O)c(C(Cc2ccc(C(C)(C)O)cc2C(F)(F)F)=c2ccc3c(c2)C=NN=3)s1,0.0,0.3408132138570243,0.096,0.266,0.17,-0.17,-0.256,-0.085,0.085,-0.537,0.537,0.171,0.135,0.362,5.865
62,CC1CCC(C(=O)N(C2CCC(n3cncn3)CC2)C2(C#CC(C)(C)C)C=CSC2C(=O)O)CC1,0.0406080010040987,0.3244230161666822,0.015,0.157,0.142,-0.142,-0.291,0.0069999999999999,0.034,-0.5720000000000001,0.5720000000000001,0.297,0.281,0.173,3.364
63,CC1CCC(C(=O)N(C2CCC(n3cncn3)CC2)C2(C#CC(C)(C)C)C=CSC2C(=O)O)CC1,0.0422984698241789,0.3266647248193972,0.015,0.157,0.142,-0.142,-0.293,0.009,0.033,-0.581,0.581,0.302,0.269,0.172,3.3110000000000004
64,CC1CCC(C(=O)N(C2CCC(n3cncn3)CC2)C2(C#CC(C)(C)C)C=CSC2C(=O)O)CC1,0.0561529642844008,0.2804340775224233,0.005,0.117,0.112,-0.112,-0.259,0.035,0.021,-0.895,0.895,0.294,0.244,0.122,3.404
65,Cc1cc(C(F)(F)F)ccc1Oc1cccc(O[C@@H]2CC2C(=O)O)c1,0.0373373113304654,0.3258929890537085,0.017,0.162,0.144,-0.144,-0.29,0.002,0.036,-0.619,0.619,0.292,0.27,0.179,3.426
66,Cc1cnc(CN2C[C@H](C(=O)O)[C@@H](C3CC3)C2)cn1,0.0258715228116611,0.3201233454721306,0.025,0.172,0.147,-0.147,-0.279,-0.015,0.041,-0.879,0.879,0.264,0.214,0.197,3.788
67,Cc1cnc(CN2C[C@H](C(=O)O)[C@@H](C3CC3)C2)cn1,0.0323394035145763,0.3316258833131106,0.021,0.171,0.15,-0.15,-0.292,-0.0069999999999999,0.039,-0.942,0.942,0.286,0.259,0.193,3.502
68,O=C(CC1(C(=O)O)CCC1)NC1COc2ccccc2C1,0.0455324101756365,0.3349333223089196,0.014,0.159,0.145,-0.145,-0.302,0.012,0.033,-0.603,0.603,0.314,0.288,0.173,3.188
69,O=C(CC1(C(=O)O)CCC1)NC1COc2ccccc2C1,0.0475903722174732,0.3290534307608148,0.012,0.153,0.141,-0.141,-0.297,0.016,0.032,-0.603,0.603,0.313,0.287,0.166,3.19
70,CN(CCC(=O)N(C)c1ccccc1)C(=O)OC(Cc1ccccc1)C(=O)O,0.046120399330447,0.3318831285683402,0.013,0.156,0.143,-0.143,-0.299,0.014,0.033,-0.513,0.513,0.313,0.298,0.17,3.197
71,CN(CCC(=O)N(C)c1ccccc1)C(=O)OC(Cc1ccccc1)C(=O)O,0.0424822164350571,0.3356683087524327,0.016,0.162,0.147,-0.147,-0.301,0.008,0.035,-0.511,0.511,0.308,0.3,0.178,3.242
72,CN(CCC(=O)N(C)c1ccccc1)C(=O)OC(Cc1ccccc1)C(=O)O,0.0458264047530417,0.3324343684009749,0.014,0.157,0.143,-0.143,-0.3,0.013,0.033,-0.517,0.517,0.313,0.292,0.17,3.199
73,COc1ccccc1C1CCN(C[C@H]2CN(C(C(=O)O)C(C)C)CC2c2ccccc2)CC1,0.0499423288367151,0.3030716599826267,0.009,0.135,0.127,-0.127,-0.276,0.023,0.027,-0.762,0.762,0.3,0.292,0.144,3.338
74,COc1ccccc1C1CCN(C[C@H]2CN(C(C(=O)O)C(C)C)CC2c2ccccc2)CC1,0.0446136771212451,0.3029246626939241,0.011,0.14,0.129,-0.129,-0.274,0.016,0.029,-0.968,0.968,0.29,0.281,0.151,3.448
75,COc1ccccc1C1CCN(C[C@H]2CN(C(C(=O)O)C(C)C)CC2c2ccccc2)CC1,0.034617861489467,0.2943253213048209,0.015,0.145,0.13,-0.13,-0.263,0.003,0.032,-0.851,0.851,0.265,0.253,0.16,3.767
76,O=C(O)C1(CC2CCCC2)CCCO1,0.0404242543932204,0.2894376614554587,0.012,0.136,0.124,-0.124,-0.261,0.012,0.028,-0.865,0.865,0.273,0.204,0.148,3.661
77,CCCCOCCCNC(=O)N1C[C@H](O)C[C@@H]1C(=O)O,0.061665362610749,0.3461786148946699,0.009,0.151,0.142,-0.142,-0.317,0.033,0.029,-0.8690000000000001,0.8690000000000001,0.35,0.342,0.159,2.857
78,Cc1cccc(-c2nc(Cn3cc(C(=O)O)cn3)c(C3CC3)s2)c1,0.0187054049874083,0.3222180568361429,0.032,0.184,0.152,-0.152,-0.276,-0.028,0.046,-0.442,0.442,0.248,0.206,0.217,4.0310000000000015
79,CC(C)(CCC(=O)O)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CCO5)CC3)ccc2[nH]1,0.04068149964845,0.2881146858571351,0.011,0.135,0.124,-0.124,-0.26,0.013,0.028,-0.95,0.95,0.273,0.264,0.146,3.668
80,Cc1cccc(-c2nc(Cn3cc(C(=O)O)cn3)c(C3CC3)s2)c1,0.0186686556652327,0.3222180568361429,0.032,0.184,0.152,-0.152,-0.276,-0.028,0.046,-0.442,0.442,0.248,0.206,0.217,4.032
81,COC(C)C(=O)NCc1ccc(C(=O)O)s1,0.0212043588953529,0.3720868870285068,0.038,0.213,0.175,-0.175,-0.318,-0.033,0.054,-0.485,0.485,0.285,0.276,0.251,3.503
82,Cc1nc(=O)n(C2CCCCC2)c(C)c1CC(=O)O,0.0288114685857135,0.3282081963507747,0.024,0.173,0.15,-0.15,-0.288,-0.012,0.041,-0.569,0.569,0.276,0.236,0.197,3.627
83,Cc1nc(=O)n(C2CCCCC2)c(C)c1CC(=O)O,0.025136536368148,0.3366237911289997,0.028,0.184,0.156,-0.156,-0.292,-0.019,0.044,-0.575,0.575,0.273,0.231,0.212,3.665
84,CCC(CC)CC(=O)N1C[C@@H]2COCC[C@]2(C(=O)O)C1,0.0612611200668168,0.3460316176059674,0.009,0.151,0.142,-0.142,-0.317,0.032,0.029,-0.877,0.877,0.349,0.338,0.16,2.863
85,CCC(CC)CC(=O)N1C[C@@H]2COCC[C@]2(C(=O)O)C1,0.0621798531212082,0.3364032951959458,0.008,0.145,0.1369999999999999,-0.1369999999999999,-0.309,0.035,0.027,-0.921,0.921,0.344,0.332,0.152,2.908
86,Cc1ccc(C(=O)NCC(=O)NC(CC(C)C)C(=O)O)cc1C,0.0307959319831988,0.3585631364678657,0.026,0.19,0.1639999999999999,-0.1639999999999999,-0.314,-0.014,0.045,-0.5589999999999999,0.5589999999999999,0.3,0.295,0.217,3.3360000000000003
87,Cc1ccc(C(=O)NCC(=O)NC(CC(C)C)C(=O)O)cc1C,0.0307959319831988,0.3584161391791631,0.026,0.19,0.1639999999999999,-0.1639999999999999,-0.314,-0.014,0.045,-0.56,0.56,0.3,0.294,0.217,3.337
88,Cc1ccc(C(=O)NCC(=O)NC(CC(C)C)C(=O)O)cc1C,0.0350588533555748,0.3504782855892217,0.022,0.18,0.158,-0.158,-0.31,-0.006,0.041,-0.484,0.484,0.304,0.295,0.202,3.294
89,O=C(NC(CCO)C(=O)O)c1cccc(=O)[nH]1,0.0115392871631556,0.3593716215557301,0.05,0.224,0.174,-0.174,-0.299,-0.049,0.061,-0.496,0.496,0.25,0.21,0.273,4.002
90,O=C(NC(CCO)C(=O)O)c1cccc(=O)[nH]1,0.0137074971715193,0.351397018643613,0.044,0.213,0.1689999999999999,-0.1689999999999999,-0.295,-0.043,0.057,-0.477,0.477,0.252,0.208,0.258,3.968
